tile,scene_id,date,cloud_pct,coverage_pct
30SVF,S2B_30SVF_20240108_0_L2A,2024-01-08,0.12,31.73
30SWF,S2B_30SWF_20240108_0_L2A,2024-01-08,2.75,11.42
30SVG,S2B_30SVG_20240108_0_L2A,2024-01-08,0.18,70.54
30SWG,S2B_30SWG_20240108_0_L2A,2024-01-08,0.98,25.39
