tile,scene_id,date,cloud_pct,coverage_pct
30SVF,S2B_30SVF_20231219_0_L2A,2023-12-19,0.01,31.73
30SWF,S2B_30SWF_20231219_0_L2A,2023-12-19,0.02,11.42
30SVG,S2A_30SVG_20231224_0_L2A,2023-12-24,0.0,70.54
30SWG,S2A_30SWG_20231224_0_L2A,2023-12-24,0.01,25.39
