tile,scene_id,date,cloud_pct,coverage_pct
30SVF,S2A_30SVF_20240807_0_L2A,2024-08-07,0.1,1.34
30SWF,S2A_30SWF_20240817_0_L2A,2024-08-17,0.03,7.89
30SVG,S2A_30SVG_20240810_0_L2A,2024-08-10,0.0,70.54
30SWG,S2B_30SWG_20240805_0_L2A,2024-08-05,0.0,25.39
