tile,scene_id,date,cloud_pct,coverage_pct
30SVF,S2B_30SVF_20240716_0_L2A,2024-07-16,0.0,31.73
30SWF,S2A_30SWF_20240731_0_L2A,2024-07-31,0.02,11.42
30SVG,S2A_30SVG_20240721_0_L2A,2024-07-21,0.0,70.54
30SWG,S2B_30SWG_20240716_0_L2A,2024-07-16,0.0,25.39
