tile,scene_id,date,cloud_pct,coverage_pct
30SVF,S2B_30SVF_20240603_0_L2A,2024-06-03,0.17,1.58
30SWF,S2B_30SWF_20240603_0_L2A,2024-06-03,0.08,8.15
30SVG,S2A_30SVG_20240621_0_L2A,2024-06-21,0.0,70.54
30SWG,S2A_30SWG_20240621_0_L2A,2024-06-21,0.01,25.39
